 2006761, 2430, 3025,  595,   5950, 357000,   2380,       0, 60100, 46139
 3006766, 2430, 3022,  592,  11887, 355200,   4754,   -1000, 60100, 45993
 4006745, 2430, 3018,  588,  17790, 352800,   7116,   -1000, 60100, 45959
 5006760, 2430, 3013,  583,  23641, 349800,   9456,       0, 60100, 45930
 6006770, 2430, 3006,  576,  29430, 345600,  11772,   -1000, 60100, 45918
 7006754, 2430, 2999,  569,  35155, 341400,  14062,   -1000, 60100, 45928
 8006739, 2430, 2992,  562,  40811, 337200,  16324,   -1000, 60100, 45926
 9006758, 2430, 2985,  555,  46396, 333000,  18558,   -1000, 60100, 45908
    6745, 2430, 2978,  548,  51912, 328800,  20764,   -1000, 60100, 45915
 1006755, 2430, 2971,  541,  57357, 324600,  22942,   -1000, 60100, 45913
 2006738, 2430, 2964,  534,  60100, 320400,  24040,   -1000, 60100, 45869
 3006754, 2430, 2957,  527,  60100, 316200,  24040,   -1000, 60100, 45864
 4006738, 2430, 2950,  520,  60100, 312000,  24040,   -1000, 60100, 45892
 5006755, 2430, 2943,  513,  60100, 307800,  24040,   -1000, 60100, 45855
 6006740, 2430, 2936,  506,  60100, 303600,  24040,   -1000, 60100, 45848
 7006758, 2430, 2929,  499,  60100, 299400,  24040,   -1000, 60100, 45824
 8006743, 2430, 2923,  493,  60100, 295800,  24040,       0, 60100, 45835
 9006756, 2430, 2916,  486,  60100, 291600,  24040,   -1000, 60100, 45813
    6742, 2430, 2909,  479,  60100, 287400,  24040,   -1000, 60100, 45818
 1006750, 2430, 2903,  473,  60100, 283800,  24040,       0, 60100, 45817
 2006760, 2430, 2896,  466,  60100, 279600,  24040,   -1000, 60100, 45793
 3006744, 2430, 2890,  460,  60100, 276000,  24040,       0, 60100, 45802
 4006756, 2430, 2884,  454,  60100, 272400,  24040,       0, 60100, 45824
 5006768, 2430, 2877,  447,  60100, 268200,  24040,   -1000, 60100, 45806
 6006753, 2430, 2871,  441,  60100, 264600,  24040,   -1000, 60100, 45813
 7006770, 2430, 2865,  435,  60100, 261000,  24040,   -1000, 60100, 45758
 8006755, 2430, 2859,  429,  60100, 257400,  24040,   -1000, 60100, 45763
 9006741, 2430, 2853,  423,  60100, 253800,  24040,   -1000, 60100, 45755
    6759, 2430, 2847,  417,  60100, 250200,  24040,   -1000, 60100, 45733
 1006767, 2430, 2842,  412,  60100, 247200,  24040,   -1000, 60100, 45729
 2006749, 2430, 2836,  406,  60100, 243600,  24040,   -1000, 60100, 45733
 3006765, 2430, 2830,  400,  60100, 240000,  24040,   -1000, 60100, 45706
 4006749, 2430, 2825,  395,  60100, 237000,  24040,   -1000, 60100, 45716
 5006765, 2430, 2820,  390,  60100, 234000,  24040,       0, 60100, 45697
 6006745, 2430, 2814,  384,  60100, 230400,  24040,   -1000, 60100, 45696
 7006762, 2430, 2809,  379,  60100, 227400,  24040,   -1000, 60100, 45725
 8006747, 2430, 2804,  374,  60100, 224400,  24040,       0, 60100, 45720
 9006760, 2430, 2799,  369,  60100, 221400,  24040,       0, 60100, 45717
    6740, 2430, 2793,  363,  60100, 217800,  24040,   -1000, 60100, 45704
 1006749, 2430, 2788,  358,  60100, 214800,  24040,   -1000, 60100, 45700
 2006763, 2430, 2783,  353,  60100, 211800,  24040,   -1000, 60100, 45709
 3006747, 2430, 2778,  348,  60100, 208800,  24040,   -1000, 60100, 45692
 4006763, 2430, 2774,  344,  60100, 206400,  24040,       0, 60100, 45703
 5006742, 2430, 2768,  338,  60100, 202800,  24040,   -1000, 60100, 45685
 6006759, 2430, 2764,  334,  60100, 200400,  24040,       0, 60100, 45700
 7006739, 2430, 2759,  329,  60100, 197400,  24040,   -1000, 60100, 45679
 8006756, 2430, 2755,  325,  60100, 195000,  24040,       0, 60100, 45673
 9006768, 2430, 2750,  320,  60100, 192000,  24040,       0, 60100, 45683
    6748, 2430, 2745,  315,  60100, 189000,  24040,   -1000, 60100, 45670
 1006756, 2430, 2741,  311,  60100, 186600,  24040,       0, 60100, 45669
 2006765, 2430, 2736,  306,  60100, 183600,  24040,   -1000, 60100, 45672
 3006748, 2430, 2732,  302,  60100, 181200,  24040,       0, 60100, 45662
 4006759, 2430, 2727,  297,  60100, 178200,  24040,   -1000, 60100, 45664
 5006743, 2430, 2723,  293,  60100, 175800,  24040,   -1000, 60100, 45653
 6006759, 2430, 2719,  289,  60100, 173400,  24040,       0, 60100, 45648
 7006739, 2430, 2715,  285,  60100, 171000,  24040,       0, 60100, 45641
 8006751, 2430, 2710,  280,  60100, 168000,  24040,   -1000, 60100, 45636
 9006768, 2430, 2706,  276,  60100, 165600,  24040,   -1000, 60100, 45636
    6753, 2430, 2702,  272,  60100, 163200,  24040,   -1000, 60100, 45629
 1006760, 2430, 2698,  268,  60100, 160800,  24040,   -1000, 60100, 45625
 2006742, 2430, 2694,  264,  60100, 158400,  24040,   -1000, 60100, 45614
 3006757, 2430, 2690,  260,  60100, 156000,  24040,       0, 60100, 45614
 4006767, 2430, 2686,  256,  60100, 153600,  24040,   -1000, 60100, 45610
 5006751, 2430, 2682,  252,  60100, 151200,  24040,   -1000, 60100, 45601
 6006767, 2430, 2679,  249,  60100, 149400,  24040,       0, 60100, 45596
 7006746, 2430, 2675,  245,  60100, 147000,  24040,       0, 60100, 45592
 8006758, 2430, 2671,  241,  60100, 144600,  24040,       0, 60100, 45589
 9006770, 2430, 2667,  237,  60100, 142200,  24040,   -1000, 60100, 45584
    6755, 2430, 2664,  234,  60100, 140400,  24040,       0, 60100, 45581
 1006757, 2430, 2660,  230,  60100, 138000,  24040,       0, 60100, 45575
 2006766, 2430, 2656,  226,  60100, 135600,  24040,   -1000, 60100, 45570
 3006749, 2430, 2653,  223,  60100, 133800,  24040,       0, 60100, 45560
 4006760, 2430, 2649,  219,  60100, 131400,  24040,   -1000, 60100, 45561
 5006743, 2430, 2646,  216,  60100, 129600,  24040,       0, 60100, 45554
 6006754, 2430, 2642,  212,  60100, 127200,  24040,   -1000, 60100, 45509
 7006738, 2430, 2639,  209,  60100, 125400,  24040,       0, 60100, 45504
 8006750, 2430, 2635,  205,  60100, 123000,  24040,   -1000, 60100, 45500
 9006766, 2430, 2632,  202,  60100, 121200,  24040,       0, 60100, 45500
    6746, 2430, 2629,  199,  60100, 119400,  24040,       0, 60100, 45494
 1006748, 2430, 2625,  195,  60100, 117000,  24040,   -1000, 60100, 45494
 2006761, 2430, 2622,  192,  60100, 115200,  24040,       0, 60100, 45488
 3006739, 2430, 2619,  189,  60100, 113400,  24040,       0, 60100, 45483
 4006749, 2430, 2616,  186,  60100, 111600,  24040,       0, 60100, 45482
 5006760, 2430, 2612,  182,  60100, 109200,  24040,   -1000, 60100, 45472
 6006743, 2430, 2609,  179,  60100, 107400,  24040,       0, 60100, 45475
 7006754, 2430, 2606,  176,  60100, 105600,  24040,       0, 60100, 45467
 8006766, 2430, 2603,  173,  60100, 103800,  24040,       0, 60100, 45462
 9006745, 2430, 2600,  170,  60100, 102000,  24040,       0, 60100, 45458
    6757, 2430, 2597,  167,  60100, 100200,  24040,       0, 60100, 45447
 1006758, 2430, 2594,  164,  60100,  98400,  24040,       0, 60100, 45443
 2006767, 2430, 2591,  161,  60100,  96600,  24040,       0, 60100, 45438
 3006744, 2430, 2588,  158,  60100,  94800,  24040,       0, 60100, 45446
 4006754, 2430, 2585,  155,  60100,  93000,  24040,       0, 60100, 45441
 5006764, 2430, 2582,  152,  60100,  91200,  24040,       0, 60100, 45417
 6006742, 2430, 2579,  149,  60100,  89400,  24040,       0, 60100, 45427
 7006753, 2430, 2576,  146,  60100,  87600,  24040,   -1000, 60100, 45422
 8006769, 2430, 2573,  143,  60100,  85800,  24040,   -1000, 60100, 45404
 9006752, 2430, 2571,  141,  60100,  84600,  24040,       0, 60100, 45408
    6764, 2430, 2568,  138,  60100,  82800,  24040,       0, 60100, 45395
 1006765, 2430, 2565,  135,  60100,  81000,  24040,       0, 60100, 45388
 2006741, 2430, 2562,  132,  60100,  79200,  24040,   -1000, 60100, 45391
 3006755, 2430, 2560,  130,  60100,  78000,  24040,       0, 60100, 45385
 4006764, 2430, 2557,  127,  60100,  76200,  24040,       0, 60100, 45382
 5006741, 2430, 2554,  124,  60100,  74400,  24040,   -1000, 60100, 45377
 6006756, 2430, 2552,  122,  60100,  73200,  24040,       0, 60100, 45380
 7006766, 2430, 2549,  119,  60100,  71400,  24040,       0, 60100, 45382
 8006744, 2430, 2546,  116,  60100,  69600,  24040,   -1000, 60100, 45370
 9006760, 2430, 2544,  114,  60100,  68400,  24040,       0, 60100, 45377
    6738, 2430, 2541,  111,  60100,  66600,  24040,   -1000, 60100, 45365
 1006744, 2430, 2539,  109,  60100,  65400,  24040,       0, 60100, 45357
 2006752, 2430, 2536,  106,  60100,  63600,  24040,       0, 60100, 45355
 3006760, 2430, 2534,  104,  60100,  62400,  24040,       0, 60100, 45368
 4006769, 2430, 2531,  101,  60100,  60600,  24040,       0, 60100, 45365
 5006746, 2430, 2529,   99,  60100,  59400,  24040,       0, 60100, 45348
 6006755, 2430, 2527,   97,  60100,  58200,  24040,       0, 60100, 45346
 7006765, 2430, 2524,   94,  60100,  56400,  24040,       0, 60100, 45356
 8006742, 2430, 2522,   92,  60100,  55200,  24040,       0, 60100, 45339
 9006752, 2430, 2519,   89,  60100,  53400,  24040,       0, 60100, 45337
